Year,India,Democratic Republic of the Congo,Nigeria,Uganda,Ghana
2020,97177024,32954188,27370934,27434176,12656535
2019,134230349,32067354,29489245,25756835,5121411
2018,124613482,23833694,25381459,17111650,8507245
2017,125977799,23195284,25106551,22319643,5107626
2016,144539608,23443227,29113322,27257784,10748502
2015,140841230,17617219,20243915,22952246,15946366
2014,138628331,15064146,20558467,19201136,19069870
2013,127891198,14877406,21659831,26145615,15742112
2012,109044798,11993189,11789970,16845771,15542218
2011,119470044,12018784,5221656,12340717,10433887
2010,119279429,10568756,3901543,15294306,11977117
